http://test.brusvyanka.ru/proekty-domov/odnoetazhnye/iz-blokov/,,"01-87,01-90",Проекты одноэтажных домов из блоков
http://test.brusvyanka.ru/proekty-domov/odnoetazhnye/,,"01-26,01-87,02-03,01-41,01-16,01-90,02-01,01-32",Проекты одноэтажных домов
http://test.brusvyanka.ru/proekty-domov/karkasnie/odnoetazhnye/,,"01-87,01-26,01-41,01-16",Проекты каркасных одноэтажных домов
http://test.brusvyanka.ru/proekty-domov/karkasnie/dvuhetazhnye/,,"01-03,01-08,01-79,01-09,01-10,01-19,01-20,01-21,01-25,01-28,01-96,01-97,02-06,01-54,02-05",Проекты каркасных двухэтажных домов
http://test.brusvyanka.ru/proekty-domov/iz-profilirovannogo-brusa/odnoetazhnye/,,"01-26, 02-03, 01-41, 01-16, 01-32",Проекты одноэтажных домов из профилированного бруса
http://test.brusvyanka.ru/proekty-domov/iz-penoblokov/s-cokolnym-etazhom/,,"01-87, 01-90",Проекты домов из пеноблоков с цокольным этажом
http://test.brusvyanka.ru/proekty-domov/iz-penoblokov/odnoetazhnye/s-mansardoj/,,нет таких ,Проекты одноэтажных домов из пеноблоков с мансардой
http://test.brusvyanka.ru/proekty-domov/iz-penoblokov/odnoetazhnye/s-garazhom/,,нет таких ,Проекты одноэтажных домов из пеноблоков с гаражом
http://test.brusvyanka.ru/proekty-domov/iz-penoblokov/odnoetazhnye/do-150-m2/,,01-90,Проекты одноэтажных домов из пеноблоков до 150 м2
http://test.brusvyanka.ru/proekty-domov/iz-penoblokov/odnoetazhnye/do-100-m2/,,01-90,Проекты одноэтажных домов из пеноблоков до 100 м2
http://test.brusvyanka.ru/proekty-domov/iz-penoblokov/odnoetazhnye/,,"01-87,01-90",Проекты одноэтажных домов из пеноблоков
http://test.brusvyanka.ru/proekty-domov/iz-penoblokov/dvuhetazhnye/10х10/ ,,"01-37, 01-43",Проекты двухэтажных домов из пеноблоков 10х10
http://test.brusvyanka.ru/proekty-domov/iz-penoblokov/dvuhetazhnye/,,"01-03,01-06,01-13,01-29,01-30,01-31,01-33,01-34,01-35,01-36,01-37,01-38,01-39,01-40,01-43,01-45,01-49,01-51,01-53,01-55,01-57,01-58,01-62,01-69,01-87,01-95,01-98",Проекты двухэтажных домов из пеноблоков
http://test.brusvyanka.ru/proekty-domov/iz-ozilindrovannogo-brevna/odnoetazhnye/,,"01-26,02-03,01-41,02-01",Проекты одноэтажных домов из оцилиндрованного бревна
http://test.brusvyanka.ru/proekty-domov/iz-kleenogo-brusa/odnoetazhnye/,,"01-26,01-32,01-41,02-01,02-03, 01-16",Проекты одноэтажных домов из клееного бревна
http://test.brusvyanka.ru/proekty-domov/iz-kirpicha/,,"01-06,",Проекты домов из кирпича
http://test.brusvyanka.ru/proekty-domov/iz-gazobetona/s-cokolnym-etazhom/,,"01-57, 01-13",Проекты домов из газобетона с цокольным этажом
http://test.brusvyanka.ru/proekty-domov/iz-gazobetona/odnoetazhnye/do-100-m2/,,01-90,Проекты одноэтажных домов из газобетона до 10 м2
http://test.brusvyanka.ru/proekty-domov/iz-gazobetona/odnoetazhnye/,,"01-87, 01-90",Проекты одноэтажных домов из газобетона
http://test.brusvyanka.ru/proekty-domov/iz-gazobetona/dvuhetazhnye/9х9/,,нет таких ,Проекты двухэтажных домов из газобетона 9х9
http://test.brusvyanka.ru/proekty-domov/iz-gazobetona/dvuhetazhnye/10х10/,,"01-37, 01-43",Проекты двухэтажных домов из газобетона 10х10
http://test.brusvyanka.ru/proekty-domov/iz-brusa/odnoetazhnye/,,"01-26,02-03,01-41,01-16,01-32",Проекты одноэтажных домов из бруса
http://test.brusvyanka.ru/proekty-domov/iz-brusa/dvuhetazhnye/6х6/,,нет таких ,Проекты двухэтажных домов из бруса 6х6
http://test.brusvyanka.ru/proekty-domov/iz-brusa/dvuhetazhnye/,,"01-83, 01-28, 01-86, 01-27, 01-81, 01-66, 01-56, 01-55,01-52,01-48,01-15,01-56,01-41,01-24,01-23,01-22,01-21,02-06,01-19,01-97,01-18,01-17,01-02,01-16,01-11,01-08,01-20,01-05,01-07,01-09,01-10,01-12,01-14,01-96,01-32,01-99,01-89",Проекты двухэтажных домов их бруса
http://test.brusvyanka.ru/proekty-domov/iz-brevna/,,"02-02, 01-42, 01-44, 02-03, 01-46, 01-47, 02-04, 02-01, 01-01, 01-04",Проекты домов из бревна
http://test.brusvyanka.ru/proekty-domov/iz-blokov/dvuhetazhnye/s-erkerom/,,01-51,Проекты двухэтажных домов из блоков с эркером
http://test.brusvyanka.ru/proekty-domov/iz-blokov/dvuhetazhnye/,,"01-53, 01-51, 01-58, 01-57, 01-33, 01-49, 01-48, 01-45, 01-43, 01-40, 01-39, 01-38, 01-37, 01-36, 01-35, 01-34, 01-31, 01-30, 01-29, 01-13, 01-03, 01-79, 01-95, 01-98",Проекты двухэтажных домов из блоков
http://test.brusvyanka.ru/proekty-domov/dvuhetazhnye/s-mansardoj/,,"01-06, 01-99, 01-98, 01-96, 02-04, 01-79, 01-10, 01-07, 01-09, 01-02, 01-30, 01-34, 01-38, 01-42, 01-48, 01-25",Проекты двухэтажных домов с мансардой
http://test.brusvyanka.ru/proekty-domov/dvuhetazhnye/s-garazhom/,,"01-95, 01-38, 01-58, 01-86, 01-83, 01-36, 01-55, 01-89",Проекты двухэтажных домов с гаражом
http://test.brusvyanka.ru/proekty-domov/dvuhetazhnye/s-cokolnym-etazhom/,,"01-57, 01-13",Проекты двухэтажных домов с цокольным этажом
http://test.brusvyanka.ru/proekty-domov/dvuhetazhnye/nedorogie/,,"01-53, 01-56, 01-48, 02-02, 01-42, 01-43, 01-39, 01-31, 01-30, 01-99",Проекты двухэтажных домов эконом класса
http://test.brusvyanka.ru/proekty-domov/dvuhetazhnye/nebolshie/,,"01-53, 01-51, 01-56, 01-52, 01-49, 01-48, 01-45, 02-02, 01-42, 01-50, 01-40, 02-03, 01-37, 01-36, 01-34, 01-31, 01-30, 01-41, 01-18, 01-02, 01-16, 01-08, 01-20, 01-90, 01-10, 01-99, 01-79 ",Проекты небольших двухэтажных домов
http://test.brusvyanka.ru/proekty-domov/dvuhetazhnye/do-100-m2/,,01-56,Проекты двухэтажных домов до 100 м2
http://test.brusvyanka.ru/proekty-domov/dvuhetazhnye/,,"01-03, 01-02, 01-05, 01-07, 01-08, 01-79, 01-09, 01-10, 01-11, 01-12, 01-13, 01-14, 01-17, 01-18, 01-19, 01-20, 01-21, 01-22, 01-23, 01-24, 01-25, 01-27, 01-28, 01-29, 01-30, 01-31, 01-33, 01-34, 01-35, 01-36, 01-37, 01-38, 01-39, 01-40, 01-43, 01-45, 01-48, 01-49, 01-51, 01-52, 01-53, 01-55, 01-56, 01-57, 01-58, 01-62, 01-66, 01-69, 01-81, 01-83, 01-86, 01-89, 01-42, 01-95, 01-44, 01-46, 01-47, 01-96, 01-97, 02-06, 01-15, 01-50, 01-99, 01-01, 01-04, 01-54, 02-02, 02-05, 02-04, 01-98",Проекты двухэтажных домов
http://test.brusvyanka.ru/proekty-domov/derevyannie/odnoetazhnye/,,"02-03, 01,26, 01-41, 01-90, 02-01",Проекты одноэтажных деревянных домов
